name
Julia Alvarez
Jun'ichirō Tanizaki
Kahlil Gibrán
Karen Betteridge
Karen C. Knox
Karl Marlantes
Kate Atkinson
Katherine Neville
Kathleen Tyau
Kathryn Stern
Kathryn Thompson
Kazuko Masui
Kazuo Ishiguro
Keith Jack
Ken Follett
Ken Kesey
Kenneth Brower
Kenneth Patchen
Kenneth Ring
Kent Anderson
Keri Hulme
Kerstin Ekman
Kevin Desouza
Kiana Davenport
Kiran Desai
Kit Knight
Krystyna Pomorska
Kurt Vonnegut
Kwadwo Agymah Kamau
"First Congregational Church (Nantucket, Mass.). Ladies' Union Circle"
Larry Brown
Larry Rockoff
Laura Pedersen
Laurel Robertson
Laurence G. Boldt
Lawrence Lee
Lawrence Millman
Lawrence Norfolk
Lee Child
Leigh Riker
Lemony Snicket
graf Leo Tolstoy
Leonardo Maugeri
Lester Bangs
Lewis Carroll
Lewis Porter
Lillian Breslow Rubin
Lindsey Davis
Lisa Bach
Lois Mai Chan
Lorraine Anderson
Louisa E. Rhine
Louise Erdrich
Louise Rennison
MIT Outing Club
Muriel Wylie Blanchet
Madeleine L'Engle
Madhur Jaffrey
Maeve Binchy
Malcolm Cowley
Malcolm Gladwell
Manju Shivraj Singh
Margaret M. Wittenberg
Marianne Fredriksson
Marita Conlon-McKenna
Marjorie Winn Ford
Mark Bego
Mark Bridges
Mark Jacobs
Mark Jacobson
Mark Twain
Martin Cruz Smith
Martin A. Lee
Mary Deirdre Donovan
Mary Estella
Mary Monroe
Mary Oliver
Maryse Condé
Matteo Carcassi
Max Allan Collins
Max McCalman
Maxine Hong Kingston
Maxwell Eden
Maya Angelou
Meg Cabot
Mel Bay
"Merriam-Webster, Inc."
Merrill Gilfillan
Michael Connelly
Michael Crichton
Michael Dibdin
Michael Dorris
Michael Kernan
Michael G. Moore
Michael Ondaatje
Michael Palin
Michael Scott
Michael Talbot
Michio Kushi
Mick Goodrick
Mickey Hart
Mickey Spillane
Mike D'Orso
Miklos Udvardy
Mil Millington
Miles Davis
Miles Krassen
Mollie Katzen
Molly Gloss
Moosewood Collective
Mort Rosenblum
Muriel Sweet
Naomi Lazard
Neal Cassady
Neal Stephenson
Nel King
Nic Harcourt
Niccolò Tucci
Nicholas Mosley
Nicholas Rinaldi
Nick Bantock
Nick Hornby
Nikki Goldbeck
Nikolai Vasilevich Gogol
Norman Rush
Norman Waddell
Ntozake Shange
Oasis Project
Octavia E. Butler
Okakura Kakuzō
Old New England
Olive Ann Burns
Ossian Publications
Ottmar Liebert
Otto Werner
O.U. Levon
P. D. James
P.J. O'Rourke
P. Statford
Pablo Naruda
Parker J. Palmer
Patricia Cornwell
Patricia Grace
Patrick Haskell
Patricia Henley
Patricia Schechter
Patrick Humphries
Patrick McManus
Patti Smith
Pattie Vargas
Paul Auster
Paul W. Bosland
Paul Bowles
Paul Jordan-Smith
Paul Reps
Paulette Jiles
Paulo Coelho
Pavel Kohout
Pearl Luke
Per Amann
Pete McCarthy
Peter Adamson
Peter Beilenson
Peter Carey
Peter Davies
Peter Deadman
Peter Gadol
Peter Høeg
Peter Matthiessen
Peter Mayle
Peter Powers
Peter Mark Roget
Phil Baguley
Phil Lesh
Philip Kapleau
Philip J. Pratt
Phillip Wayne Allen
Poppy Z. Brite
Quincy Troupe
Rachel Biheller Bunin
Rachel Cusk
Ralph Helfer
Ralph Steadman
Rand McNally
Randy Wayne White
Rebecca Theurer Wood
Relix Magazine
Rex Pickett
Rich Carter
Richard Adams
Richard Bach
Richard Brautigan
Richard Dawkins
Richard Flanagan
Richard Kluger
Richard E. Mayer
Richard Monaco
Richard K. Nelson
Richard Powers
Richard Spellenberg
Richard Sterling
Rita Dove
Rob Van der Plas
Robert B. Parker
Robert Boswell
Robert Crais
Robert M. Gagné
Robert F. Kay
Robert Linssen
Robert Ludlum
Robert McLiam Wilson
Robert Michael Pyle
Robert Olen Butler
Robert C. Solomon
Robertson Davies
Roddy Doyle
Rolling Stone
Rollo May
Ron Hansen
Ronny Lee
Rosario Ferré
Rotraud Michael-Degner‏
Royal Robbins
Rudolfo Anaya
Russell Banks
Ruth Reichl
Ruth Rendell
Ruth Winter
S. E. Hinton
Sal Salvador
Salma Samar Damluji
Samuel Beckett
Samuel Chamberlain
Samuel Fromartz
Sandra Benitez
Sara Midda
Sarah Bird
Sarah Graves
Saul Bellow
Schuyler Ingle
Scott Meyer
Scott Simon
Seamus Heaney
Sebastian Faulks
Sharon B. Pape
Sharon Tyler Herbst
Sheila Lukins
Shel Silverstein
Shuntō Aoyama
"Somerville, E. Œ."
Sonja Maria Dahl
Stanley Karnow
Stephen Coonts
Stephen Dobyns
Stephen Hunt
Stephen Mitchell
Stephen Myhre
Steve Hall
Steven Jenkins
Steven Johnson
Steven Nightingale
Steven Rinella
Stieg Larsson
Stuart Woods
Sue William Silverman
Sune Engelbrektson
Sunetra Gupta
Susan Fox Rogers
Susan Orlean
Susan Straight
Susanna Moore
Swain Wolfe
Sylvan Barnet
T.A. Layton
T.S. Eliot
T Coraghessan Boyle
T. Jeff Williams
Tananarive Due
Ted Greene
Ted Ringer
Terry Farish
Terry McMillan
Thích. Nhất Hạnh
Thomas M. Connolly
Thomas Hardy
Thomas King
Thomas McGuane
Thomas Pynchon
Thomas Sanchez
Thomas Wharton
Tim Cahill
Tim Dorsey
Tim Folger
Tim O'Brien
Tim Sandlin
Time-Life Books
Tina McElroy Ansa
Tom Manoff
Tom Robbins
Tom Watts
Tom Wolfe
Toni Morrison
Tony Birks
Tony Glover
Tony Wheeler
Toyoaki Kawai
Troy Soos
"Try-Foods International, Inc."
Twelve Time Systems
Urban Waite
Van Reid
Victor Hugo
Victor Sodsook
Vijay Hassin
Vikram Chandra
Vincent Kohler
Vivienne Marquis
Voltaire
William P. Kinsella
Walt Wheelock
Walter Mosley
Walter W. Wager
Wayne Johnson
Wayne Johnston
Wendy Esko
Wendy Holden
William Bay
William Carpenter
William Glasser
William G. Leavitt
William S. Burroughs
William Trevor
William T. Vollmann
Willis Harman
Wing-Tsit Chan
Wisconsin Milk Marketing Board
Woody Mann
Yamaha
Yann Martel
Zoë Brân
Zoe Weil
Zora Neale Hurston
