author,title,copies
http://www.connaissance.io/onto/biblio/authors#Anna_Thomas,The Vegetarian Epicure: Book Two,1
http://www.connaissance.io/onto/biblio/authors#Anne_Cameron,Child of Her People,1
http://www.connaissance.io/onto/biblio/authors#Anne_Kent_Rush,"Moon, Moon",1
http://www.connaissance.io/onto/biblio/authors#Anne_Kent_Rush,The Basic Back Book,1
http://www.connaissance.io/onto/biblio/authors#Anne_Tyler,Breathing Lessons,1
http://www.connaissance.io/onto/biblio/authors#Annie_Hawes,Ripe for the Picking,1
http://www.connaissance.io/onto/biblio/authors#Anthony_Bourdain,A Cook's Tour: In Search of a Perfect Meal,1
http://www.connaissance.io/onto/biblio/authors#Anthony_Bourdain,Bone in the Throat,1
http://www.connaissance.io/onto/biblio/authors#Anthony_Burgess,A Clockwork Orange,1
http://www.connaissance.io/onto/biblio/authors#Anthony_Doerr,The shell collector : stories,1
http://www.connaissance.io/onto/biblio/authors#Apple,Color Setup Guide,1
http://www.connaissance.io/onto/biblio/authors#April_Sinclair,Coffee Will Make You Black,1
http://www.connaissance.io/onto/biblio/authors#Argie_Ligeros,The Yoga for Athletes Fitness System,1
http://www.connaissance.io/onto/biblio/authors#Ariel_Dorfman,The Nanny and the Iceberg,1
http://www.connaissance.io/onto/biblio/authors#Arthur_Jacobs,A New Dictionary Music,1
http://www.connaissance.io/onto/biblio/authors#Arthur_Winfield_Knight,The Beat Vision,1
http://www.connaissance.io/onto/biblio/authors#Arturo_Perez_Reverte,Purity of Blood,1
http://www.connaissance.io/onto/biblio/authors#Arturo_Perez_Reverte,The Flanders Panel,1
http://www.connaissance.io/onto/biblio/authors#Arturo_Perez_Reverte,The Queen of the South,1
http://www.connaissance.io/onto/biblio/authors#Arturo_Perez_Reverte,The Seville Communion,1
http://www.connaissance.io/onto/biblio/authors#Audrey_Niffenegger,The Time Traveler's Wife,1
http://www.connaissance.io/onto/biblio/authors#Auguste_Escoffier,The Escoffier Cook Book,1
http://www.connaissance.io/onto/biblio/authors#Austin_Sicard,Mel Bay's Complete Book of Blues Guitar Licks & Phrases,1
http://www.connaissance.io/onto/biblio/authors#Aveline_Kushi,The Changing Seasons Macrobiotic Cookbook,1
http://www.connaissance.io/onto/biblio/authors#Avery_Publishing,Whole world cookbook : international macrobiotic cuisine,1
http://www.connaissance.io/onto/biblio/authors#Ayn_Rand,Atlantis Found,1
http://www.connaissance.io/onto/biblio/authors#Ayya_Khema,"Being Nobody, Going Nowhere",1
http://www.connaissance.io/onto/biblio/authors#Barbara_Ciletti,Making Great Cheese at Home : 30 simple recipes from cheddar the cheve,1
http://www.connaissance.io/onto/biblio/authors#Barbara_Gordon_Gibson,How to Plan and Build Decks,1
http://www.connaissance.io/onto/biblio/authors#Barbara_Kingsolver,The Bean Trees : a novel,1
http://www.connaissance.io/onto/biblio/authors#Barbara_Seels,Instructional Technology : the definition and domains of the field.,1
http://www.connaissance.io/onto/biblio/authors#Barney_Hoskyns,The Sound and the Fury : a Rock's Backpages reader : 40 years of classic rock journalism,1
http://www.connaissance.io/onto/biblio/authors#Barry_Galbraith,Daily exercises : in the melodic and harmonic minor modes,1
http://www.connaissance.io/onto/biblio/authors#Barry_Galbraith,The fingerbook workbook: concepts in logical fingering,1
http://www.connaissance.io/onto/biblio/authors#Barry_Gifford,Jack's Book : an Oral Biography of Jack Kerouac,1
http://www.connaissance.io/onto/biblio/authors#Barry_Lopez,Arctic Dreams: imagination and desire in a northern landscape ,1
http://www.connaissance.io/onto/biblio/authors#Barry_Lopez,River notes : the dance of herons,1
http://www.connaissance.io/onto/biblio/authors#Batdorf_Bronson,Guide to the Art of Preparing Superior Espresso,1
http://www.connaissance.io/onto/biblio/authors#Beatles,The Best of the Beatles : 25 greatest hits,1
http://www.connaissance.io/onto/biblio/authors#Beatrice_Trum_Hunter,The Natural Foods Cookbook,1
http://www.connaissance.io/onto/biblio/authors#Becky_Ohlsen,Seattle : city guide,1
